"to","from","points"
"PRT","ALB",8
"BGR","ALB",10
"MDA","ALB",0
"BEL","ALB",5
"SWE","ALB",2
"ITA","ALB",12
"ROU","ALB",4
"HUN","ALB",6
"AUS","ALB",0
"NOR","ALB",0
"NLD","ALB",0
"FRA","ALB",1
"HRV","ALB",7
"AZE","ALB",0
"GBR","ALB",0
"AUT","ALB",0
"BLR","ALB",0
"ARM","ALB",0
"GRC","ALB",3
"DNK","ALB",0
"CYP","ALB",0
"POL","ALB",0
"ISR","ALB",0
"UKR","ALB",0
"DEU","ALB",0
"ESP","ALB",0
"PRT","ARM",10
"BGR","ARM",7
"MDA","ARM",6
"BEL","ARM",5
"SWE","ARM",3
"ITA","ARM",4
"ROU","ARM",2
"HUN","ARM",0
"AUS","ARM",0
"NOR","ARM",0
"NLD","ARM",0
"FRA","ARM",8
"HRV","ARM",0
"AZE","ARM",0
"GBR","ARM",0
"AUT","ARM",0
"BLR","ARM",0
"ARM","ARM",0
"GRC","ARM",1
"DNK","ARM",0
"CYP","ARM",12
"POL","ARM",0
"ISR","ARM",0
"UKR","ARM",0
"DEU","ARM",0
"ESP","ARM",0
"PRT","AUS",7
"BGR","AUS",5
"MDA","AUS",12
"BEL","AUS",4
"SWE","AUS",6
"ITA","AUS",2
"ROU","AUS",10
"HUN","AUS",0
"AUS","AUS",0
"NOR","AUS",0
"NLD","AUS",0
"FRA","AUS",0
"HRV","AUS",1
"AZE","AUS",0
"GBR","AUS",3
"AUT","AUS",0
"BLR","AUS",0
"ARM","AUS",0
"GRC","AUS",0
"DNK","AUS",8
"CYP","AUS",0
"POL","AUS",0
"ISR","AUS",0
"UKR","AUS",0
"DEU","AUS",0
"ESP","AUS",0
"PRT","AUT",12
"BGR","AUT",7
"MDA","AUT",3
"BEL","AUT",8
"SWE","AUT",1
"ITA","AUT",6
"ROU","AUT",10
"HUN","AUT",5
"AUS","AUT",0
"NOR","AUT",0
"NLD","AUT",0
"FRA","AUT",0
"HRV","AUT",4
"AZE","AUT",0
"GBR","AUT",0
"AUT","AUT",0
"BLR","AUT",0
"ARM","AUT",0
"GRC","AUT",0
"DNK","AUT",0
"CYP","AUT",0
"POL","AUT",2
"ISR","AUT",0
"UKR","AUT",0
"DEU","AUT",0
"ESP","AUT",0
"PRT","AZE",8
"BGR","AZE",12
"MDA","AZE",10
"BEL","AZE",4
"SWE","AZE",3
"ITA","AZE",6
