"to","from","points"
"PRT","ALB",14
"BGR","ALB",20
"MDA","ALB",0
"BEL","ALB",5
"SWE","ALB",2
"ITA","ALB",24
"ROU","ALB",7
"HUN","ALB",6
"AUS","ALB",4
"NOR","ALB",0
"NLD","ALB",0
"FRA","ALB",6
"HRV","ALB",7
"AZE","ALB",2
"GBR","ALB",8
"AUT","ALB",0
"BLR","ALB",0
"ARM","ALB",7
"GRC","ALB",4
"DNK","ALB",0
"CYP","ALB",0
"POL","ALB",0
"ISR","ALB",0
"UKR","ALB",0
"DEU","ALB",0
"ESP","ALB",0
"PRT","ARM",22
"BGR","ARM",7
"MDA","ARM",14
"BEL","ARM",5
"SWE","ARM",9
"ITA","ARM",6
"ROU","ARM",2
"HUN","ARM",0
"AUS","ARM",0
"NOR","ARM",5
"NLD","ARM",0
"FRA","ARM",11
"HRV","ARM",0
"AZE","ARM",0
"GBR","ARM",4
"AUT","ARM",1
"BLR","ARM",0
"ARM","ARM",0
"GRC","ARM",11
"DNK","ARM",0
"CYP","ARM",19
"POL","ARM",0
"ISR","ARM",0
"UKR","ARM",0
"DEU","ARM",0
"ESP","ARM",0
"PRT","AUS",14
"BGR","AUS",13
"MDA","AUS",22
"BEL","AUS",4
"SWE","AUS",12
"ITA","AUS",2
"ROU","AUS",10
"HUN","AUS",0
"AUS","AUS",0
"NOR","AUS",0
"NLD","AUS",4
"FRA","AUS",0
"HRV","AUS",1
"AZE","AUS",0
"GBR","AUS",15
"AUT","AUS",3
"BLR","AUS",0
"ARM","AUS",1
"GRC","AUS",0
"DNK","AUS",13
"CYP","AUS",0
"POL","AUS",2
"ISR","AUS",0
"UKR","AUS",0
"DEU","AUS",0
"ESP","AUS",0
"PRT","AUT",20
"BGR","AUT",17
"MDA","AUT",3
"BEL","AUT",10
"SWE","AUT",5
"ITA","AUT",12
"ROU","AUT",10
"HUN","AUT",10
"AUS","AUT",0
"NOR","AUT",3
"NLD","AUT",12
"FRA","AUT",0
"HRV","AUT",4
"AZE","AUT",0
"GBR","AUT",1
"AUT","AUT",0
"BLR","AUT",7
"ARM","AUT",0
"GRC","AUT",0
"DNK","AUT",0
"CYP","AUT",0
"POL","AUT",2
"ISR","AUT",0
"UKR","AUT",0
"DEU","AUT",0
"ESP","AUT",0
"PRT","AZE",16
"BGR","AZE",14
"MDA","AZE",20
"BEL","AZE",4
"SWE","AZE",3
"ITA","AZE",6
"ROU","AZE",5
"HUN","AZE",7
"AUS","AZE",0
"NOR","AZE",0
"NLD","AZE",0
"FRA","AZE",5
"HRV","AZE",1
"AZE","AZE",0
"GBR","AZE",0
"AUT","AZE",0
"BLR","AZE",12
"ARM","AZE",0
"GRC","AZE",5
"DNK","AZE",0
"CYP","AZE",0
"POL","AZE",6
"ISR","AZE",5
"UKR","AZE",7
"DEU","AZE",0
"ESP","AZE",0
"PRT","BLR",17
"BGR","BLR",24
"MDA","BLR",10
"BEL","BLR",6
"SWE","BLR",11
"ITA","BLR",0
"ROU","BLR",2
"HUN","BLR",8
"AUS","BLR",7
"NOR","BLR",11
"NLD","BLR",5
"FRA","BLR",4
"HRV","BLR",0
"AZE","BLR",0
"GBR","BLR",0
"AUT","BLR",4
"BLR","BLR",0
"ARM","BLR",0
"GRC","BLR",0
"DNK","BLR",3
"CYP","BLR",0
"POL","BLR",2
"ISR","BLR",1
"UKR","BLR",1
"DEU","BLR",0
"ESP","BLR",0
"PRT","BEL",20
"BGR","BEL",18
"MDA","BEL",7
"BEL","BEL",0
"SWE","BEL",14
"ITA","BEL",5
"ROU","BEL",6
"HUN","BEL",1
"AUS","BEL",6
"NOR","BEL",7
"NLD","BEL",10
"FRA","BEL",4
"HRV","BEL",0
"AZE","BEL",4
"GBR","BEL",2
"AUT","BEL",3
"BLR","BEL",0
"ARM","BEL",0
"GRC","BEL",0
"DNK","BEL",0
"CYP","BEL",5
"POL","BEL",4
"ISR","BEL",0
"UKR","BEL",0
"DEU","BEL",0
"ESP","BEL",0
"PRT","BGR",7
"BGR","BGR",0
"MDA","BGR",10
"BEL","BGR",4
"SWE","BGR",2
"ITA","BGR",0
"ROU","BGR",11
"HUN","BGR",6
"AUS","BGR",0
"NOR","BGR",0
"NLD","BGR",10
"FRA","BGR",12
"HRV","BGR",1
"AZE","BGR",5
"GBR","BGR",0
"AUT","BGR",12
"BLR","BGR",2
"ARM","BGR",4
"GRC","BGR",11
"DNK","BGR",0
"CYP","BGR",3
"POL","BGR",7
"ISR","BGR",8
"UKR","BGR",1
"DEU","BGR",0
"ESP","BGR",0
"PRT","HRV",17
"BGR","HRV",18
"MDA","HRV",4
"BEL","HRV",5
"SWE","HRV",6
"ITA","HRV",7
"ROU","HRV",6
"HUN","HRV",24
"AUS","HRV",6
"NOR","HRV",2
"NLD","HRV",9
"FRA","HRV",3
"HRV","HRV",0
"AZE","HRV",0
"GBR","HRV",0
"AUT","HRV",1
"BLR","HRV",5
"ARM","HRV",0
"GRC","HRV",0
"DNK","HRV",3
"CYP","HRV",0
"POL","HRV",0
"ISR","HRV",0
"UKR","HRV",0
"DEU","HRV",0
"ESP","HRV",0
"PRT","CYP",15
"BGR","CYP",17
"MDA","CYP",6
"BEL","CYP",5
"SWE","CYP",11
"ITA","CYP",18
"ROU","CYP",4
"HUN","CYP",0
"AUS","CYP",4
"NOR","CYP",0
"NLD","CYP",0
"FRA","CYP",5
"HRV","CYP",0
"AZE","CYP",1
"GBR","CYP",5
"AUT","CYP",0
"BLR","CYP",0
"ARM","CYP",1
"GRC","CYP",24
"DNK","CYP",0
"CYP","CYP",0
"POL","CYP",0
"ISR","CYP",0
"UKR","CYP",0
"DEU","CYP",0
"ESP","CYP",0
"PRT","CZE",20
"BGR","CZE",14
"MDA","CZE",8
"BEL","CZE",4
"SWE","CZE",7
"ITA","CZE",1
"ROU","CZE",6
"HUN","CZE",0
"AUS","CZE",10
"NOR","CZE",0
"NLD","CZE",8
"FRA","CZE",0
"HRV","CZE",0
"AZE","CZE",10
"GBR","CZE",5
"AUT","CZE",4
"BLR","CZE",3
"ARM","CZE",2
"GRC","CZE",0
"DNK","CZE",6
"CYP","CZE",0
"POL","CZE",1
"ISR","CZE",0
"UKR","CZE",7
"DEU","CZE",0
"ESP","CZE",0
"PRT","DNK",15
"BGR","DNK",14
"MDA","DNK",11
"BEL","DNK",8
"SWE","DNK",24
"ITA","DNK",0
"ROU","DNK",4
"HUN","DNK",3
"AUS","DNK",10
"NOR","DNK",13
"NLD","DNK",6
"FRA","DNK",0
"HRV","DNK",0
"AZE","DNK",0
"GBR","DNK",0
"AUT","DNK",7
"BLR","DNK",0
"ARM","DNK",1
"GRC","DNK",0
"DNK","DNK",0
"CYP","DNK",0
"POL","DNK",0
"ISR","DNK",0
"UKR","DNK",0
"DEU","DNK",0
"ESP","DNK",0
"PRT","EST",18
"BGR","EST",19
"MDA","EST",4
"BEL","EST",14
"SWE","EST",6
"ITA","EST",5
"ROU","EST",6
"HUN","EST",9
"AUS","EST",7
"NOR","EST",10
"NLD","EST",4
"FRA","EST",1
"HRV","EST",0
"AZE","EST",0
"GBR","EST",6
"AUT","EST",0
"BLR","EST",2
"ARM","EST",0
"GRC","EST",0
"DNK","EST",5
"CYP","EST",0
"POL","EST",0
"ISR","EST",0
"UKR","EST",0
"DEU","EST",0
"ESP","EST",0
"PRT","FIN",20
"BGR","FIN",13
"MDA","FIN",8
"BEL","FIN",10
"SWE","FIN",18
"ITA","FIN",15
"ROU","FIN",3
"HUN","FIN",4
"AUS","FIN",10
"NOR","FIN",3
"NLD","FIN",0
"FRA","FIN",1
"HRV","FIN",0
"AZE","FIN",0
"GBR","FIN",2
"AUT","FIN",0
"BLR","FIN",0
"ARM","FIN",0
"GRC","FIN",0
"DNK","FIN",4
"CYP","FIN",5
"POL","FIN",0
"ISR","FIN",0
"UKR","FIN",0
"DEU","FIN",0
"ESP","FIN",0
"PRT","FRA",24
"BGR","FRA",9
"MDA","FRA",7
"BEL","FRA",8
"SWE","FRA",8
"ITA","FRA",15
"ROU","FRA",10
"HUN","FRA",2
"AUS","FRA",2
"NOR","FRA",7
"NLD","FRA",4
"FRA","FRA",0
"HRV","FRA",0
"AZE","FRA",0
"GBR","FRA",3
"AUT","FRA",1
"BLR","FRA",0
"ARM","FRA",6
"GRC","FRA",0
"DNK","FRA",0
"CYP","FRA",0
"POL","FRA",1
"ISR","FRA",9
"UKR","FRA",0
"DEU","FRA",0
"ESP","FRA",0
"PRT","MKD",17
"BGR","MKD",24
"MDA","MKD",8
"BEL","MKD",4
"SWE","MKD",6
"ITA","MKD",8
"ROU","MKD",4
"HUN","MKD",3
"AUS","MKD",8
"NOR","MKD",2
"NLD","MKD",0
"FRA","MKD",11
"HRV","MKD",10
"AZE","MKD",0
"GBR","MKD",3
"AUT","MKD",0
"BLR","MKD",0
"ARM","MKD",0
"GRC","MKD",0
"DNK","MKD",7
"CYP","MKD",0
"POL","MKD",0
"ISR","MKD",1
"UKR","MKD",0
"DEU","MKD",0
"ESP","MKD",0
"PRT","GEO",20
"BGR","GEO",13
"MDA","GEO",0
"BEL","GEO",0
"SWE","GEO",9
"ITA","GEO",7
"ROU","GEO",0
"HUN","GEO",0
"AUS","GEO",0
"NOR","GEO",7
"NLD","GEO",1
"FRA","GEO",3
"HRV","GEO",0
"AZE","GEO",22
"GBR","GEO",0
"AUT","GEO",5
"BLR","GEO",6
"ARM","GEO",13
"GRC","GEO",0
"DNK","GEO",0
"CYP","GEO",6
"POL","GEO",0
"ISR","GEO",0
"UKR","GEO",4
"DEU","GEO",0
"ESP","GEO",0
"PRT","DEU",22
"BGR","DEU",13
"MDA","DEU",7
"BEL","DEU",10
"SWE","DEU",4
"ITA","DEU",4
"ROU","DEU",6
"HUN","DEU",4
"AUS","DEU",5
"NOR","DEU",12
"NLD","DEU",8
"FRA","DEU",0
"HRV","DEU",11
"AZE","DEU",0
"GBR","DEU",6
"AUT","DEU",2
"BLR","DEU",0
"ARM","DEU",0
"GRC","DEU",0
"DNK","DEU",0
"CYP","DEU",0
"POL","DEU",2
"ISR","DEU",0
"UKR","DEU",0
"DEU","DEU",0
"ESP","DEU",0
"PRT","GRC",13
"BGR","GRC",12
"MDA","GRC",13
"BEL","GRC",5
"SWE","GRC",3
"ITA","GRC",11
"ROU","GRC",7
"HUN","GRC",0
"AUS","GRC",0
"NOR","GRC",0
"NLD","GRC",0
"FRA","GRC",4
"HRV","GRC",0
"AZE","GRC",10
"GBR","GRC",1
"AUT","GRC",0
"BLR","GRC",3
"ARM","GRC",10
"GRC","GRC",0
"DNK","GRC",0
"CYP","GRC",24
"POL","GRC",0
"ISR","GRC",0
"UKR","GRC",0
"DEU","GRC",0
"ESP","GRC",0
"PRT","HUN",19
"BGR","HUN",22
"MDA","HUN",10
"BEL","HUN",8
"SWE","HUN",4
"ITA","HUN",4
"ROU","HUN",6
"HUN","HUN",0
"AUS","HUN",7
"NOR","HUN",6
"NLD","HUN",8
"FRA","HUN",1
"HRV","HUN",5
"AZE","HUN",4
"GBR","HUN",3
"AUT","HUN",0
"BLR","HUN",0
"ARM","HUN",2
"GRC","HUN",0
"DNK","HUN",5
"CYP","HUN",2
"POL","HUN",0
"ISR","HUN",0
"UKR","HUN",0
"DEU","HUN",0
"ESP","HUN",0
"PRT","ISL",24
"BGR","ISL",10
"MDA","ISL",6
"BEL","ISL",12
"SWE","ISL",16
"ITA","ISL",12
"ROU","ISL",5
"HUN","ISL",6
"AUS","ISL",10
"NOR","ISL",2
"NLD","ISL",0
"FRA","ISL",0
"HRV","ISL",0
"AZE","ISL",0
"GBR","ISL",7
"AUT","ISL",0
"BLR","ISL",0
"ARM","ISL",0
"GRC","ISL",0
"DNK","ISL",3
"CYP","ISL",0
"POL","ISL",3
"ISR","ISL",0
"UKR","ISL",0
"DEU","ISL",0
"ESP","ISL",0
"PRT","IRL",15
"BGR","IRL",16
"MDA","IRL",8
"BEL","IRL",17
"SWE","IRL",6
"ITA","IRL",1
"ROU","IRL",20
"HUN","IRL",2
"AUS","IRL",0
"NOR","IRL",2
"NLD","IRL",4
"FRA","IRL",0
"HRV","IRL",3
"AZE","IRL",1
"GBR","IRL",4
"AUT","IRL",7
"BLR","IRL",0
"ARM","IRL",0
"GRC","IRL",0
"DNK","IRL",0
"CYP","IRL",0
"POL","IRL",7
"ISR","IRL",0
"UKR","IRL",0
"DEU","IRL",3
"ESP","IRL",0
"PRT","ISR",24
"BGR","ISR",17
"MDA","ISR",8
"BEL","ISR",14
"SWE","ISR",13
"ITA","ISR",10
"ROU","ISR",7
"HUN","ISR",1
"AUS","ISR",0
"NOR","ISR",5
"NLD","ISR",0
"FRA","ISR",10
"HRV","ISR",0
"AZE","ISR",0
"GBR","ISR",0
"AUT","ISR",0
"BLR","ISR",3
"ARM","ISR",0
"GRC","ISR",0
"DNK","ISR",0
"CYP","ISR",0
"POL","ISR",0
"ISR","ISR",0
"UKR","ISR",4
"DEU","ISR",0
"ESP","ISR",0
"PRT","ITA",10
"BGR","ITA",10
"MDA","ITA",20
"BEL","ITA",9
"SWE","ITA",10
"ITA","ITA",0
"ROU","ITA",10
"HUN","ITA",4
"AUS","ITA",0
"NOR","ITA",3
"NLD","ITA",0
"FRA","ITA",7
"HRV","ITA",6
"AZE","ITA",12
"GBR","ITA",0
"AUT","ITA",1
"BLR","ITA",0
"ARM","ITA",4
"GRC","ITA",0
"DNK","ITA",0
"CYP","ITA",0
"POL","ITA",3
"ISR","ITA",0
"UKR","ITA",7
"DEU","ITA",0
"ESP","ITA",0
"PRT","LVA",22
"BGR","LVA",15
"MDA","LVA",9
"BEL","LVA",22
"SWE","LVA",4
"ITA","LVA",3
"ROU","LVA",8
"HUN","LVA",2
"AUS","LVA",5
"NOR","LVA",8
"NLD","LVA",0
"FRA","LVA",0
"HRV","LVA",0
"AZE","LVA",0
"GBR","LVA",4
"AUT","LVA",6
"BLR","LVA",8
"ARM","LVA",0
"GRC","LVA",0
"DNK","LVA",0
"CYP","LVA",0
"POL","LVA",0
"ISR","LVA",0
"UKR","LVA",0
"DEU","LVA",0
"ESP","LVA",0
"PRT","LTU",24
"BGR","LTU",14
"MDA","LTU",8
"BEL","LTU",14
"SWE","LTU",9
"ITA","LTU",13
"ROU","LTU",4
"HUN","LTU",2
"AUS","LTU",1
"NOR","LTU",16
"NLD","LTU",2
"FRA","LTU",0
"HRV","LTU",0
"AZE","LTU",0
"GBR","LTU",0
"AUT","LTU",5
"BLR","LTU",1
"ARM","LTU",3
"GRC","LTU",0
"DNK","LTU",0
"CYP","LTU",0
"POL","LTU",0
"ISR","LTU",0
"UKR","LTU",0
"DEU","LTU",0
"ESP","LTU",0
"PRT","MLT",18
"BGR","MLT",18
"MDA","MLT",1
"BEL","MLT",5
"SWE","MLT",7
"ITA","MLT",24
"ROU","MLT",11
"HUN","MLT",5
"AUS","MLT",0
"NOR","MLT",0
"NLD","MLT",0
"FRA","MLT",4
"HRV","MLT",9
"AZE","MLT",0
"GBR","MLT",4
"AUT","MLT",0
"BLR","MLT",2
"ARM","MLT",1
"GRC","MLT",0
"DNK","MLT",0
"CYP","MLT",0
"POL","MLT",0
"ISR","MLT",7
"UKR","MLT",0
"DEU","MLT",0
"ESP","MLT",0
"PRT","MDA",13
"BGR","MDA",18
"MDA","MDA",0
"BEL","MDA",2
"SWE","MDA",11
"ITA","MDA",4
"ROU","MDA",24
"HUN","MDA",1
"AUS","MDA",4
"NOR","MDA",0
"NLD","MDA",0
"FRA","MDA",5
"HRV","MDA",0
"AZE","MDA",15
"GBR","MDA",0
"AUT","MDA",2
"BLR","MDA",4
"ARM","MDA",6
"GRC","MDA",7
"DNK","MDA",0
"CYP","MDA",0
"POL","MDA",0
"ISR","MDA",0
"UKR","MDA",0
