"to","from","points"
"PRT","ALB",7
"AUS","ALB",5
"BEL","ALB",0
"BGR","ALB",4
"SWE","ALB",2
"FRA","ALB",10
"ITA","ALB",0
"ISR","ALB",6
"GRC","ALB",12
"MDA","ALB",8
"HRV","ALB",1
"CYP","ALB",0
"HUN","ALB",0
"GBR","ALB",0
"DNK","ALB",0
"DEU","ALB",3
"AZE","ALB",0
"NLD","ALB",0
"POL","ALB",0
"UKR","ALB",0
"ARM","ALB",0
"AUT","ALB",0
"ESP","ALB",0
"BLR","ALB",0
"NOR","ALB",0
"ROU","ALB",0
"PRT","ARM",10
"AUS","ARM",5
"BEL","ARM",1
"BGR","ARM",3
"SWE","ARM",2
"FRA","ARM",8
"ITA","ARM",0
"ISR","ARM",0
"GRC","ARM",4
"MDA","ARM",6
"HRV","ARM",0
"CYP","ARM",12
"HUN","ARM",0
"GBR","ARM",0
"DNK","ARM",0
"DEU","ARM",0
"AZE","ARM",7
"NLD","ARM",0
"POL","ARM",0
"UKR","ARM",0
"ARM","ARM",0
"AUT","ARM",0
"ESP","ARM",0
"BLR","ARM",0
"NOR","ARM",0
"ROU","ARM",0
"PRT","AUS",10
"AUS","AUS",0
"BEL","AUS",4
"BGR","AUS",3
"SWE","AUS",6
"FRA","AUS",0
"ITA","AUS",5
"ISR","AUS",1
"GRC","AUS",7
"MDA","AUS",0
"HRV","AUS",2
"CYP","AUS",0
"HUN","AUS",0
"GBR","AUS",8
"DNK","AUS",12
"DEU","AUS",0
"AZE","AUS",0
"NLD","AUS",0
"POL","AUS",0
"UKR","AUS",0
"ARM","AUS",0
"AUT","AUS",0
"ESP","AUS",0
"BLR","AUS",0
"NOR","AUS",0
"ROU","AUS",0
"PRT","AZE",12
"AUS","AZE",7
"BEL","AZE",10
"BGR","AZE",5
"SWE","AZE",2
"FRA","AZE",8
"ITA","AZE",3
"ISR","AZE",0
"GRC","AZE",0
"MDA","AZE",6
"HRV","AZE",0
"CYP","AZE",1
"HUN","AZE",0
"GBR","AZE",0
"DNK","AZE",0
"DEU","AZE",0
"AZE","AZE",0
"NLD","AZE",0
"POL","AZE",0
"UKR","AZE",0
"ARM","AZE",4
"AUT","AZE",0
"ESP","AZE",0
"BLR","AZE",0
"NOR","AZE",0
"ROU","AZE",0
"PRT","BEL",8
"AUS","BEL",7
"BEL","BEL",0
"BGR","BEL",2
"SWE","BEL",5
"FRA","BEL",10
"ITA","BEL",6
"ISR","BEL",4
"GRC","BEL",3
"MDA","BEL",1
"HRV","BEL",0
"CYP","BEL",0
"HUN","BEL",0
"GBR","BEL",0
"DNK","BEL",0
"DEU","BEL",0
"AZE","BEL",0
"NLD","BEL",12
"POL","BEL",0
"UKR","BEL",0
"ARM","BEL",0
"AUT","BEL",0
"ESP","BEL",0
"BLR","BEL",0
"NOR","BEL",0
"ROU","BEL",0
"PRT","CYP",10
"AUS","CYP",8
"BEL","CYP",2
"BGR","CYP",6
"SWE","CYP",7
"FRA","CYP",5
"ITA","CYP",1
"ISR","CYP",4
"GRC","CYP",12
"MDA","CYP",0
"HRV","CYP",0
"CYP","CYP",0
"HUN","CYP",0
"GBR","CYP",3
"DNK","CYP",0
"DEU","CYP",0
"AZE","CYP",0
"NLD","CYP",0
"POL","CYP",0
"UKR","CYP",0
"ARM","CYP",0
"AUT","CYP",0
"ESP","CYP",0
"BLR","CYP",0
"NOR","CYP",0
"ROU","CYP",0
"PRT","CZE",12
"AUS","CZE",10
"BEL","CZE",8
"BGR","CZE",7
"SWE","CZE",6
"FRA","CZE",4
"ITA","CZE",0
"ISR","CZE",5
"GRC","CZE",0
"MDA","CZE",0
"HRV","CZE",2
"CYP","CZE",0
"HUN","CZE",1
"GBR","CZE",0
"DNK","CZE",0
"DEU","CZE",0
"AZE","CZE",0
"NLD","CZE",0
"POL","CZE",0
"UKR","CZE",3
"ARM","CZE",0
"AUT","CZE",0
"ESP","CZE",0
