"to","from","points"
"ISR","ALB",7
"NOR","ALB",6
"BLR","ALB",4
"CZE","ALB",2
"FIN","ALB",10
"FRA","ALB",0
"RUS","ALB",0
"UKR","ALB",8
"SWE","ALB",0
"CYP","ALB",12
"DNK","ALB",0
"AUS","ALB",0
"GBR","ALB",0
"EST","ALB",0
"BEL","ALB",5
"LTU","ALB",0
"MDA","ALB",0
"ITA","ALB",3
"DEU","ALB",0
"IRL","ALB",0
"ESP","ALB",0
"NLD","ALB",0
"HUN","ALB",0
"AUT","ALB",1
"SVN","ALB",0
"PRT","ALB",0
"ISR","ARM",10
"NOR","ARM",6
"BLR","ARM",12
"CZE","ARM",8
"FIN","ARM",4
"FRA","ARM",3
"RUS","ARM",7
"UKR","ARM",5
"SWE","ARM",0
"CYP","ARM",0
"DNK","ARM",0
"AUS","ARM",0
"GBR","ARM",1
"EST","ARM",0
"BEL","ARM",0
"LTU","ARM",2
"MDA","ARM",0
"ITA","ARM",0
"DEU","ARM",0
"IRL","ARM",0
"ESP","ARM",0
"NLD","ARM",0
"HUN","ARM",0
"AUT","ARM",0
"SVN","ARM",0
"PRT","ARM",0
"ISR","AUS",12
"NOR","AUS",10
"BLR","AUS",4
"CZE","AUS",7
"FIN","AUS",8
"FRA","AUS",1
"RUS","AUS",3
"UKR","AUS",2
"SWE","AUS",6
"CYP","AUS",0
"DNK","AUS",0
"AUS","AUS",0
"GBR","AUS",0
"EST","AUS",0
"BEL","AUS",0
"LTU","AUS",0
"MDA","AUS",0
"ITA","AUS",0
"DEU","AUS",0
"IRL","AUS",5
"ESP","AUS",0
"NLD","AUS",0
"HUN","AUS",0
"AUT","AUS",0
"SVN","AUS",0
"PRT","AUS",0
"ISR","AUT",12
"NOR","AUT",8
"BLR","AUT",1
"CZE","AUT",10
"FIN","AUT",6
"FRA","AUT",3
"RUS","AUT",4
"UKR","AUT",0
"SWE","AUT",0
"CYP","AUT",0
"DNK","AUT",5
"AUS","AUT",2
"GBR","AUT",0
"EST","AUT",0
"BEL","AUT",0
"LTU","AUT",0
"MDA","AUT",0
"ITA","AUT",0
"DEU","AUT",7
"IRL","AUT",0
"ESP","AUT",0
"NLD","AUT",0
"HUN","AUT",0
"AUT","AUT",0
"SVN","AUT",0
"PRT","AUT",0
"ISR","AZE",8
"NOR","AZE",10
"BLR","AZE",12
"CZE","AZE",6
"FIN","AZE",0
"FRA","AZE",3
"RUS","AZE",7
"UKR","AZE",5
"SWE","AZE",1
"CYP","AZE",2
"DNK","AZE",0
"AUS","AZE",0
"GBR","AZE",0
"EST","AZE",0
"BEL","AZE",4
"LTU","AZE",0
"MDA","AZE",0
"ITA","AZE",0
"DEU","AZE",0
"IRL","AZE",0
"ESP","AZE",0
"NLD","AZE",0
"HUN","AZE",0
"AUT","AZE",0
"SVN","AZE",0
"PRT","AZE",0
"ISR","BLR",7
"NOR","BLR",10
"BLR","BLR",0
"CZE","BLR",6
"FIN","BLR",1
"FRA","BLR",5
"RUS","BLR",12
"UKR","BLR",8
"SWE","BLR",0
"CYP","BLR",0
"DNK","BLR",3
"AUS","BLR",0
"GBR","BLR",0
"EST","BLR",4
"BEL","BLR",0
"LTU","BLR",0
"MDA","BLR",2
"ITA","BLR",0
"DEU","BLR",0
"IRL","BLR",0
"ESP","BLR",0
"NLD","BLR",0
"HUN","BLR",0
"AUT","BLR",0
"SVN","BLR",0
"PRT","BLR",0
"ISR","BEL",10
"NOR","BEL",7
"BLR","BEL",0
"CZE","BEL",5
"FIN","BEL",4
"FRA","BEL",12
"RUS","BEL",0
